facility_code,report_month,anc1_visits,anc4_visits,deliveries_total,deliveries_skilled,deliveries_facility,immunisation_started,immunisation_completed,report_submitted_day
CH-011,2026-01,59,49,62,48,42,50,44,1
CH-011,2026-02,56,45,58,44,49,63,58,5
CH-011,2026-03,68,52,46,41,44,52,48,2
CH-011,2026-04,56,43,52,43,40,52,43,1
CH-011,2026-05,45,34,48,43,40,55,50,3
CH-011,2026-06,51,37,54,51,39,45,38,8
GH-004,2024-07,67,56,55,49,55,60,55,4
GH-004,2024-08,70,62,49,44,44,48,47,1
GH-004,2024-09,58,44,71,57,59,63,57,8
GH-004,2024-10,71,65,73,67,73,59,56,7
GH-004,2024-11,83,79,70,65,68,78,78,5
GH-004,2024-12,81,72,65,62,64,68,68,7
GH-004,2025-01,76,66,57,50,57,75,70,4
GH-004,2025-02,77,77,65,65,63,67,67,1
GH-004,2025-03,69,58,72,66,64,66,61,3
GH-004,2025-04,81,74,66,56,65,65,64,3
GH-004,2025-05,80,67,65,61,62,63,61,2
GH-004,2025-06,62,58,81,72,54,66,58,1
GH-004,2025-07,70,60,61,60,61,55,55,5
GH-004,2025-08,67,61,65,64,53,58,55,2
GH-004,2025-09,53,42,57,52,57,54,51,2
GH-004,2025-10,65,65,82,82,68,66,58,1
GH-004,2025-11,67,64,82,75,61,68,64,2
GH-004,2025-12,91,78,78,61,65,73,68,2
GH-004,2026-01,78,67,72,67,61,69,66,6
GH-004,2026-02,79,69,65,64,65,63,63,2
GH-004,2026-03,74,63,70,70,68,64,62,4
GH-004,2026-04,78,65,75,72,69,58,57,8
GH-004,2026-05,81,64,68,60,53,67,62,5
GH-004,2026-06,72,68,70,61,62,57,56,1
PHC-001,2024-07,28,23,26,22,22,24,24,4
PHC-001,2024-08,27,23,26,23,20,22,22,6
PHC-001,2024-09,28,21,27,23,22,25,24,5
PHC-001,2024-10,30,26,28,28,24,25,23,6
PHC-001,2024-11,30,29,30,28,25,29,29,2
PHC-001,2024-12,33,33,31,30,31,27,27,3
PHC-001,2025-01,31,28,34,27,27,26,24,2
PHC-001,2025-02,32,27,30,25,27,28,26,3
PHC-001,2025-03,32,29,30,28,25,25,25,5
PHC-001,2025-04,28,20,31,30,28,29,29,1
PHC-001,2025-05,31,25,27,25,25,23,21,4
PHC-001,2025-06,25,22,25,22,19,24,24,3
PHC-001,2025-07,28,26,26,25,23,25,23,6
PHC-001,2025-08,24,24,26,26,20,22,19,4
PHC-001,2025-09,27,27,21,21,21,22,21,4
PHC-001,2025-10,31,26,29,28,25,24,22,2
PHC-001,2025-11,34,30,34,31,25,27,25,4
PHC-001,2025-12,33,30,27,27,26,23,22,3
PHC-001,2026-01,30,26,32,29,28,26,26,5
PHC-001,2026-02,31,27,31,29,27,31,31,5
PHC-001,2026-03,35,27,28,28,24,29,29,1
PHC-001,2026-04,32,29,27,25,27,28,25,1
PHC-001,2026-05,30,24,27,25,27,24,24,1
PHC-001,2026-06,27,26,21,20,21,32,32,1
PHC-002,2024-07,12,4,11,8,7,9,7,6
PHC-002,2024-08,13,7,9,7,7,9,6,6
PHC-002,2024-09,12,5,11,7,7,12,7,5
PHC-002,2024-10,14,6,9,7,7,12,8,2
PHC-002,2024-11,14,7,12,9,8,11,8,1
PHC-002,2024-12,14,7,11,8,8,12,9,1
PHC-002,2025-01,15,5,12,8,10,11,8,3
PHC-002,2025-02,15,6,14,11,10,12,8,1
PHC-002,2025-03,14,6,13,10,9,13,7,9
PHC-002,2025-04,15,7,13,8,7,10,6,2
PHC-002,2025-05,14,6,12,10,8,10,6,1
PHC-002,2025-06,10,4,12,10,7,11,7,1
PHC-002,2025-07,10,5,10,7,7,9,6,10
PHC-002,2025-08,9,5,10,6,7,11,7,7
PHC-002,2025-09,14,6,12,9,8,11,7,3
PHC-002,2025-10,11,5,12,9,9,10,6,3
PHC-002,2025-11,13,6,13,10,7,12,8,6
PHC-002,2025-12,14,7,12,9,7,13,8,1
PHC-002,2026-01,15,7,13,9,7,12,8,5
PHC-002,2026-02,13,7,12,9,8,12,8,4
PHC-002,2026-03,13,6,14,9,9,12,7,1
PHC-002,2026-04,13,6,13,11,8,12,8,1
PHC-002,2026-05,13,6,10,7,8,9,6,6
PHC-002,2026-06,11,5,10,7,7,10,6,1
PHC-003,2024-07,13,11,19,16,13,18,16,1
PHC-003,2024-08,16,12,14,11,14,14,13,3
PHC-003,2024-09,16,12,19,16,14,16,14,7
PHC-003,2024-10,21,15,17,14,12,17,15,1
PHC-003,2024-11,21,17,21,17,18,17,16,1
PHC-003,2024-12,21,14,21,18,16,20,19,5
PHC-003,2025-01,21,15,23,19,13,18,16,5
PHC-003,2025-02,19,16,18,16,14,19,17,6
PHC-003,2025-03,18,14,19,15,14,21,19,6
PHC-003,2025-04,19,15,19,18,13,18,17,1
PHC-003,2025-05,22,19,20,16,17,18,17,6
PHC-003,2025-06,16,13,17,14,13,15,14,8
PHC-003,2025-07,16,12,15,13,12,16,16,9
PHC-003,2025-08,17,13,18,15,13,17,17,3
PHC-003,2025-09,17,14,18,16,11,16,16,2
PHC-003,2025-10,18,14,17,13,16,15,15,3
PHC-003,2025-11,20,15,21,18,16,17,17,3
PHC-003,2025-12,18,12,20,17,16,19,19,2
PHC-003,2026-01,21,19,20,15,15,21,18,1
PHC-003,2026-02,20,15,22,19,15,19,18,2
PHC-003,2026-03,22,28,17,14,17,18,17,6
PHC-003,2026-04,20,17,20,16,16,22,21,7
PHC-003,2026-05,20,16,19,17,12,15,13,2
PHC-003,2026-06,19,15,18,14,17,16,15,4
PHC-005,2024-07,12,5,12,8,8,13,9,12
PHC-005,2024-08,9,6,13,9,8,11,7,13
PHC-005,2024-09,10,6,15,9,7,13,9,16
PHC-005,2024-10,12,6,14,9,8,13,10,10
PHC-005,2024-11,11,7,17,10,11,13,8,8
PHC-005,2024-12,11,5,18,10,10,15,11,12
PHC-005,2025-01,12,7,16,9,10,15,11,16
PHC-005,2025-02,10,5,15,9,9,15,10,14
PHC-005,2025-03,12,5,13,7,8,13,9,15
PHC-005,2025-04,11,6,16,11,8,13,9,10
PHC-005,2025-05,11,6,14,9,9,16,12,2
PHC-005,2025-06,10,5,15,10,8,15,10,5
PHC-005,2025-07,11,6,12,7,7,13,9,11
PHC-005,2025-08,,,,,,,,
PHC-005,2025-09,12,6,15,10,6,11,8,11
PHC-005,2025-10,10,6,13,9,9,14,9,10
PHC-005,2025-11,13,6,15,10,8,16,11,6
PHC-005,2025-12,11,5,15,10,7,13,10,11
PHC-005,2026-01,14,7,13,8,9,14,9,10
PHC-005,2026-02,10,6,16,7,8,15,10,5
PHC-005,2026-03,12,8,14,9,9,15,10,9
PHC-005,2026-04,11,5,17,8,9,12,8,11
PHC-005,2026-05,10,6,13,9,6,15,11,11
PHC-005,2026-06,9,5,13,8,5,12,9,13
PHC-006,2024-07,9,4,7,6,5,8,6,2
PHC-006,2024-08,9,3,8,6,5,9,6,1
PHC-006,2024-09,9,4,8,6,6,7,4,4
PHC-006,2024-10,9,4,9,6,7,8,5,4
PHC-006,2024-11,10,4,8,6,7,8,6,6
PHC-006,2024-12,10,4,9,7,6,9,6,8
PHC-006,2025-01,10,5,10,8,7,9,5,6
PHC-006,2025-02,11,6,8,5,6,9,6,5
PHC-006,2025-03,11,6,10,8,6,8,5,9
PHC-006,2025-04,10,5,7,5,6,9,6,3
PHC-006,2025-05,9,5,8,5,5,7,5,4
PHC-006,2025-06,8,3,9,6,6,8,5,1
PHC-006,2025-07,8,4,8,6,7,7,5,3
PHC-006,2025-08,8,4,8,6,5,7,5,6
PHC-006,2025-09,9,5,8,5,5,9,6,9
PHC-006,2025-10,11,6,7,5,6,9,6,4
PHC-006,2025-11,9,5,9,6,6,9,6,2
PHC-006,2025-12,10,5,10,8,8,9,5,6
PHC-006,2026-01,9,5,10,6,5,9,6,5
PHC-006,2026-02,10,5,9,7,7,9,6,6
PHC-006,2026-03,9,5,9,5,6,9,6,4
PHC-006,2026-04,9,4,10,7,6,8,5,2
PHC-006,2026-05,9,4,12,9,6,7,5,3
PHC-006,2026-06,9,5,9,7,5,8,4,1
PHC-008,2024-07,7,6,7,6,6,7,7,3
PHC-008,2024-08,8,5,8,7,6,7,6,1
PHC-008,2024-09,7,6,8,7,7,7,6,3
PHC-008,2024-10,8,6,8,7,6,7,6,5
PHC-008,2024-11,8,6,11,10,6,9,9,5
PHC-008,2024-12,9,6,9,7,7,8,7,5
PHC-008,2025-01,9,6,9,7,6,8,8,8
PHC-008,2025-02,9,7,9,8,7,7,7,7
PHC-008,2025-03,8,6,9,8,5,8,7,6
PHC-008,2025-04,9,7,8,7,6,10,9,1
PHC-008,2025-05,9,7,8,6,5,9,8,2
PHC-008,2025-06,8,7,8,7,7,7,6,3
PHC-008,2025-07,7,5,6,5,5,6,6,7
PHC-008,2025-08,9,7,7,6,6,6,5,4
PHC-008,2025-09,9,6,8,7,6,8,7,1
PHC-008,2025-10,8,6,8,6,6,8,8,1
PHC-008,2025-11,41,6,9,8,7,8,8,4
PHC-008,2025-12,10,8,9,8,7,9,8,1
PHC-008,2026-01,9,7,10,9,7,9,8,1
PHC-008,2026-02,9,6,7,6,7,8,8,1
PHC-008,2026-03,9,7,8,7,7,9,8,4
PHC-008,2026-04,9,6,8,7,6,7,7,5
PHC-008,2026-05,10,8,7,6,6,8,7,4
PHC-008,2026-06,7,6,8,7,7,7,6,5
PHC-009,2024-07,22,19,17,16,17,19,19,1
PHC-009,2024-08,21,18,17,14,17,15,14,5
PHC-009,2024-09,23,16,19,19,18,22,21,9
PHC-009,2024-10,23,19,21,20,17,18,17,11
PHC-009,2024-11,27,22,22,22,20,20,20,3
PHC-009,2024-12,25,21,19,18,19,23,21,2
PHC-009,2025-01,28,26,24,22,20,21,20,5
PHC-009,2025-02,24,21,25,23,19,22,22,1
PHC-009,2025-03,24,18,23,21,17,20,17,2
PHC-009,2025-04,22,17,24,23,19,23,21,2
PHC-009,2025-05,21,18,20,17,16,20,20,5
PHC-009,2025-06,21,19,16,14,16,17,17,9
PHC-009,2025-07,23,21,19,18,16,18,18,2
PHC-009,2025-08,21,19,20,18,16,15,15,3
PHC-009,2025-09,24,22,20,19,14,18,18,5
PHC-009,2025-10,25,21,23,21,18,19,17,1
PHC-009,2025-11,26,24,23,23,18,24,24,3
PHC-009,2025-12,26,26,26,26,23,25,25,7
PHC-009,2026-01,21,18,21,19,20,21,20,3
PHC-009,2026-02,26,22,25,21,22,25,25,5
PHC-009,2026-03,24,20,22,19,21,17,17,3
PHC-009,2026-04,24,21,19,17,19,19,17,5
PHC-009,2026-05,24,21,22,22,21,21,20,1
PHC-009,2026-06,19,17,21,19,21,17,16,4
PHC-010,2024-07,7,5,8,5,5,9,7,10
PHC-010,2024-08,8,4,8,5,6,9,6,10
PHC-010,2024-09,7,4,11,7,6,9,7,11
PHC-010,2024-10,7,4,10,7,6,10,8,8
PHC-010,2024-11,8,4,11,5,6,10,7,13
PHC-010,2024-12,8,4,12,7,7,10,8,14
PHC-010,2025-01,7,4,11,7,7,11,8,7
PHC-010,2025-02,8,4,11,8,7,10,7,13
PHC-010,2025-03,7,5,11,8,7,9,6,13
PHC-010,2025-04,9,4,11,7,5,12,8,10
PHC-010,2025-05,7,4,11,7,5,10,7,15
PHC-010,2025-06,6,3,11,7,6,9,6,11
PHC-010,2025-07,6,3,8,5,5,9,6,11
PHC-010,2025-08,5,3,8,5,3,9,7,8
PHC-010,2025-09,6,4,10,6,5,9,7,8
PHC-010,2025-10,6,4,10,6,6,9,6,12
PHC-010,2025-11,8,5,10,6,6,9,6,16
PHC-010,2025-12,7,4,11,7,6,10,7,13
PHC-010,2026-01,,,,,,,,
PHC-010,2026-02,7,4,11,7,7,12,8,11
PHC-010,2026-03,6,3,12,8,5,9,7,17
PHC-010,2026-04,8,4,10,5,4,9,6,7
PHC-010,2026-05,7,4,9,6,6,10,8,12
PHC-010,2026-06,7,3,10,7,6,9,6,13
PHC-012,2024-07,6,3,7,6,3,6,4,4
PHC-012,2024-08,7,4,6,5,5,6,4,4
PHC-012,2024-09,6,3,6,4,5,6,4,5
PHC-012,2024-10,7,4,7,5,5,7,4,4
PHC-012,2024-11,8,4,6,5,6,7,5,1
PHC-012,2024-12,8,3,7,5,5,7,5,4
PHC-012,2025-01,8,3,8,6,5,8,6,8
PHC-012,2025-02,7,3,8,6,5,7,5,2
PHC-012,2025-03,7,3,8,6,5,7,5,5
PHC-012,2025-04,6,3,8,5,5,8,6,7
PHC-012,2025-05,7,3,6,5,4,6,4,2
PHC-012,2025-06,6,3,7,5,4,6,4,1
PHC-012,2025-07,6,2,7,6,4,6,4,1
PHC-012,2025-08,7,3,6,5,4,6,4,6
PHC-012,2025-09,6,3,6,4,4,6,4,2
PHC-012,2025-10,8,3,7,6,5,6,5,10
PHC-012,2025-11,8,3,8,6,6,6,4,6
PHC-012,2025-12,9,4,7,5,4,7,5,2
PHC-012,2026-01,8,3,8,6,5,7,5,1
PHC-012,2026-02,8,4,7,5,4,7,4,6
PHC-012,2026-03,7,2,7,4,6,7,4,1
PHC-012,2026-04,7,4,8,6,5,6,4,5
PHC-012,2026-05,8,3,8,6,4,5,3,4
PHC-012,2026-06,6,3,8,6,4,5,3,7
