facility_code,facility_name,lga,report_month,report_quarter,indicator_code,indicator_name,domain,numerator,denominator,indicator_value,unit,target_value,direction,met_target,gap_vs_target
CH-007,Kuje Cottage Hospital,Kuje,2025-10,2025-Q4,ANC4,ANC4 coverage,Antenatal care,31.0,45.0,68.9,percent,70,higher_is_better,False,-1.1
CH-007,Kuje Cottage Hospital,Kuje,2025-11,2025-Q4,ANC4,ANC4 coverage,Antenatal care,32.0,45.0,71.1,percent,70,higher_is_better,True,1.1
CH-007,Kuje Cottage Hospital,Kuje,2025-12,2025-Q4,ANC4,ANC4 coverage,Antenatal care,36.0,45.0,80.0,percent,70,higher_is_better,True,10.0
CH-007,Kuje Cottage Hospital,Kuje,2026-01,2026-Q1,ANC4,ANC4 coverage,Antenatal care,36.0,45.0,80.0,percent,70,higher_is_better,True,10.0
CH-007,Kuje Cottage Hospital,Kuje,2026-02,2026-Q1,ANC4,ANC4 coverage,Antenatal care,34.0,45.0,75.6,percent,70,higher_is_better,True,5.6
CH-007,Kuje Cottage Hospital,Kuje,2026-03,2026-Q1,ANC4,ANC4 coverage,Antenatal care,31.0,45.0,68.9,percent,70,higher_is_better,False,-1.1
CH-007,Kuje Cottage Hospital,Kuje,2026-04,2026-Q2,ANC4,ANC4 coverage,Antenatal care,33.0,45.0,73.3,percent,70,higher_is_better,True,3.3
CH-007,Kuje Cottage Hospital,Kuje,2026-05,2026-Q2,ANC4,ANC4 coverage,Antenatal care,34.0,45.0,75.6,percent,70,higher_is_better,True,5.6
CH-007,Kuje Cottage Hospital,Kuje,2026-06,2026-Q2,ANC4,ANC4 coverage,Antenatal care,30.0,45.0,66.7,percent,70,higher_is_better,False,-3.3
CH-011,Kubwa Cottage Hospital,Bwari,2024-07,2024-Q3,ANC4,ANC4 coverage,Antenatal care,38.0,62.3,61.0,percent,70,higher_is_better,False,-9.0
CH-011,Kubwa Cottage Hospital,Bwari,2024-08,2024-Q3,ANC4,ANC4 coverage,Antenatal care,37.0,62.3,59.4,percent,70,higher_is_better,False,-10.6
CH-011,Kubwa Cottage Hospital,Bwari,2024-09,2024-Q3,ANC4,ANC4 coverage,Antenatal care,44.0,62.3,70.6,percent,70,higher_is_better,True,0.6
CH-011,Kubwa Cottage Hospital,Bwari,2024-10,2024-Q4,ANC4,ANC4 coverage,Antenatal care,39.0,62.3,62.6,percent,70,higher_is_better,False,-7.4
CH-011,Kubwa Cottage Hospital,Bwari,2024-11,2024-Q4,ANC4,ANC4 coverage,Antenatal care,43.0,62.3,69.0,percent,70,higher_is_better,False,-1.0
CH-011,Kubwa Cottage Hospital,Bwari,2024-12,2024-Q4,ANC4,ANC4 coverage,Antenatal care,40.0,62.3,64.2,percent,70,higher_is_better,False,-5.8
CH-011,Kubwa Cottage Hospital,Bwari,2025-01,2025-Q1,ANC4,ANC4 coverage,Antenatal care,38.0,62.3,61.0,percent,70,higher_is_better,False,-9.0
CH-011,Kubwa Cottage Hospital,Bwari,2025-02,2025-Q1,ANC4,ANC4 coverage,Antenatal care,46.0,62.3,73.8,percent,70,higher_is_better,True,3.8
CH-011,Kubwa Cottage Hospital,Bwari,2025-03,2025-Q1,ANC4,ANC4 coverage,Antenatal care,42.0,62.3,67.4,percent,70,higher_is_better,False,-2.6
CH-011,Kubwa Cottage Hospital,Bwari,2025-04,2025-Q2,ANC4,ANC4 coverage,Antenatal care,40.0,62.3,64.2,percent,70,higher_is_better,False,-5.8
CH-011,Kubwa Cottage Hospital,Bwari,2025-05,2025-Q2,ANC4,ANC4 coverage,Antenatal care,38.0,62.3,61.0,percent,70,higher_is_better,False,-9.0
CH-011,Kubwa Cottage Hospital,Bwari,2025-06,2025-Q2,ANC4,ANC4 coverage,Antenatal care,33.0,62.3,53.0,percent,70,higher_is_better,False,-17.0
CH-011,Kubwa Cottage Hospital,Bwari,2025-07,2025-Q3,ANC4,ANC4 coverage,Antenatal care,43.0,62.3,69.0,percent,70,higher_is_better,False,-1.0
CH-011,Kubwa Cottage Hospital,Bwari,2025-08,2025-Q3,ANC4,ANC4 coverage,Antenatal care,37.0,62.3,59.4,percent,70,higher_is_better,False,-10.6
CH-011,Kubwa Cottage Hospital,Bwari,2025-09,2025-Q3,ANC4,ANC4 coverage,Antenatal care,37.0,62.3,59.4,percent,70,higher_is_better,False,-10.6
CH-011,Kubwa Cottage Hospital,Bwari,2025-10,2025-Q4,ANC4,ANC4 coverage,Antenatal care,41.0,62.3,65.8,percent,70,higher_is_better,False,-4.2
CH-011,Kubwa Cottage Hospital,Bwari,2025-11,2025-Q4,ANC4,ANC4 coverage,Antenatal care,43.0,62.3,69.0,percent,70,higher_is_better,False,-1.0
CH-011,Kubwa Cottage Hospital,Bwari,2025-12,2025-Q4,ANC4,ANC4 coverage,Antenatal care,44.0,62.3,70.6,percent,70,higher_is_better,True,0.6
CH-011,Kubwa Cottage Hospital,Bwari,2026-01,2026-Q1,ANC4,ANC4 coverage,Antenatal care,49.0,62.3,78.7,percent,70,higher_is_better,True,8.7
CH-011,Kubwa Cottage Hospital,Bwari,2026-02,2026-Q1,ANC4,ANC4 coverage,Antenatal care,45.0,62.3,72.2,percent,70,higher_is_better,True,2.2
CH-011,Kubwa Cottage Hospital,Bwari,2026-03,2026-Q1,ANC4,ANC4 coverage,Antenatal care,52.0,62.3,83.5,percent,70,higher_is_better,True,13.5
CH-011,Kubwa Cottage Hospital,Bwari,2026-04,2026-Q2,ANC4,ANC4 coverage,Antenatal care,43.0,62.3,69.0,percent,70,higher_is_better,False,-1.0
CH-011,Kubwa Cottage Hospital,Bwari,2026-05,2026-Q2,ANC4,ANC4 coverage,Antenatal care,34.0,62.3,54.6,percent,70,higher_is_better,False,-15.4
CH-011,Kubwa Cottage Hospital,Bwari,2026-06,2026-Q2,ANC4,ANC4 coverage,Antenatal care,37.0,62.3,59.4,percent,70,higher_is_better,False,-10.6
GH-004,Gwagwalada General Hosp,Gwagwalada,2024-07,2024-Q3,ANC4,ANC4 coverage,Antenatal care,56.0,80.0,70.0,percent,70,higher_is_better,True,0.0
GH-004,Gwagwalada General Hosp,Gwagwalada,2024-08,2024-Q3,ANC4,ANC4 coverage,Antenatal care,62.0,80.0,77.5,percent,70,higher_is_better,True,7.5
GH-004,Gwagwalada General Hosp,Gwagwalada,2024-09,2024-Q3,ANC4,ANC4 coverage,Antenatal care,44.0,80.0,55.0,percent,70,higher_is_better,False,-15.0
GH-004,Gwagwalada General Hosp,Gwagwalada,2024-10,2024-Q4,ANC4,ANC4 coverage,Antenatal care,65.0,80.0,81.3,percent,70,higher_is_better,True,11.3
GH-004,Gwagwalada General Hosp,Gwagwalada,2024-11,2024-Q4,ANC4,ANC4 coverage,Antenatal care,79.0,80.0,98.8,percent,70,higher_is_better,True,28.8
GH-004,Gwagwalada General Hosp,Gwagwalada,2024-12,2024-Q4,ANC4,ANC4 coverage,Antenatal care,72.0,80.0,90.0,percent,70,higher_is_better,True,20.0
GH-004,Gwagwalada General Hosp,Gwagwalada,2025-01,2025-Q1,ANC4,ANC4 coverage,Antenatal care,66.0,80.0,82.5,percent,70,higher_is_better,True,12.5
GH-004,Gwagwalada General Hosp,Gwagwalada,2025-02,2025-Q1,ANC4,ANC4 coverage,Antenatal care,77.0,80.0,96.3,percent,70,higher_is_better,True,26.3
GH-004,Gwagwalada General Hosp,Gwagwalada,2025-03,2025-Q1,ANC4,ANC4 coverage,Antenatal care,58.0,80.0,72.5,percent,70,higher_is_better,True,2.5
GH-004,Gwagwalada General Hosp,Gwagwalada,2025-04,2025-Q2,ANC4,ANC4 coverage,Antenatal care,74.0,80.0,92.5,percent,70,higher_is_better,True,22.5
GH-004,Gwagwalada General Hosp,Gwagwalada,2025-05,2025-Q2,ANC4,ANC4 coverage,Antenatal care,67.0,80.0,83.8,percent,70,higher_is_better,True,13.8
GH-004,Gwagwalada General Hosp,Gwagwalada,2025-06,2025-Q2,ANC4,ANC4 coverage,Antenatal care,58.0,80.0,72.5,percent,70,higher_is_better,True,2.5
GH-004,Gwagwalada General Hosp,Gwagwalada,2025-07,2025-Q3,ANC4,ANC4 coverage,Antenatal care,60.0,80.0,75.0,percent,70,higher_is_better,True,5.0
GH-004,Gwagwalada General Hosp,Gwagwalada,2025-08,2025-Q3,ANC4,ANC4 coverage,Antenatal care,61.0,80.0,76.3,percent,70,higher_is_better,True,6.3
GH-004,Gwagwalada General Hosp,Gwagwalada,2025-09,2025-Q3,ANC4,ANC4 coverage,Antenatal care,42.0,80.0,52.5,percent,70,higher_is_better,False,-17.5
GH-004,Gwagwalada General Hosp,Gwagwalada,2025-10,2025-Q4,ANC4,ANC4 coverage,Antenatal care,65.0,80.0,81.3,percent,70,higher_is_better,True,11.3
GH-004,Gwagwalada General Hosp,Gwagwalada,2025-11,2025-Q4,ANC4,ANC4 coverage,Antenatal care,64.0,80.0,80.0,percent,70,higher_is_better,True,10.0
GH-004,Gwagwalada General Hosp,Gwagwalada,2025-12,2025-Q4,ANC4,ANC4 coverage,Antenatal care,78.0,80.0,97.5,percent,70,higher_is_better,True,27.5
GH-004,Gwagwalada General Hosp,Gwagwalada,2026-01,2026-Q1,ANC4,ANC4 coverage,Antenatal care,67.0,80.0,83.8,percent,70,higher_is_better,True,13.8
GH-004,Gwagwalada General Hosp,Gwagwalada,2026-02,2026-Q1,ANC4,ANC4 coverage,Antenatal care,69.0,80.0,86.3,percent,70,higher_is_better,True,16.3
GH-004,Gwagwalada General Hosp,Gwagwalada,2026-03,2026-Q1,ANC4,ANC4 coverage,Antenatal care,63.0,80.0,78.8,percent,70,higher_is_better,True,8.8
GH-004,Gwagwalada General Hosp,Gwagwalada,2026-04,2026-Q2,ANC4,ANC4 coverage,Antenatal care,65.0,80.0,81.3,percent,70,higher_is_better,True,11.3
GH-004,Gwagwalada General Hosp,Gwagwalada,2026-05,2026-Q2,ANC4,ANC4 coverage,Antenatal care,64.0,80.0,80.0,percent,70,higher_is_better,True,10.0
GH-004,Gwagwalada General Hosp,Gwagwalada,2026-06,2026-Q2,ANC4,ANC4 coverage,Antenatal care,68.0,80.0,85.0,percent,70,higher_is_better,True,15.0
PHC-001,Gwagwalada PHC,Gwagwalada,2024-07,2024-Q3,ANC4,ANC4 coverage,Antenatal care,23.0,32.7,70.3,percent,70,higher_is_better,True,0.3
PHC-001,Gwagwalada PHC,Gwagwalada,2024-08,2024-Q3,ANC4,ANC4 coverage,Antenatal care,23.0,32.7,70.3,percent,70,higher_is_better,True,0.3
PHC-001,Gwagwalada PHC,Gwagwalada,2024-09,2024-Q3,ANC4,ANC4 coverage,Antenatal care,21.0,32.7,64.2,percent,70,higher_is_better,False,-5.8
PHC-001,Gwagwalada PHC,Gwagwalada,2024-10,2024-Q4,ANC4,ANC4 coverage,Antenatal care,26.0,32.7,79.5,percent,70,higher_is_better,True,9.5
PHC-001,Gwagwalada PHC,Gwagwalada,2024-11,2024-Q4,ANC4,ANC4 coverage,Antenatal care,29.0,32.7,88.7,percent,70,higher_is_better,True,18.7
PHC-001,Gwagwalada PHC,Gwagwalada,2024-12,2024-Q4,ANC4,ANC4 coverage,Antenatal care,33.0,32.7,100.9,percent,70,higher_is_better,True,30.9
PHC-001,Gwagwalada PHC,Gwagwalada,2025-01,2025-Q1,ANC4,ANC4 coverage,Antenatal care,28.0,32.7,85.6,percent,70,higher_is_better,True,15.6
PHC-001,Gwagwalada PHC,Gwagwalada,2025-02,2025-Q1,ANC4,ANC4 coverage,Antenatal care,27.0,32.7,82.6,percent,70,higher_is_better,True,12.6
PHC-001,Gwagwalada PHC,Gwagwalada,2025-03,2025-Q1,ANC4,ANC4 coverage,Antenatal care,29.0,32.7,88.7,percent,70,higher_is_better,True,18.7
PHC-001,Gwagwalada PHC,Gwagwalada,2025-04,2025-Q2,ANC4,ANC4 coverage,Antenatal care,20.0,32.7,61.2,percent,70,higher_is_better,False,-8.8
PHC-001,Gwagwalada PHC,Gwagwalada,2025-05,2025-Q2,ANC4,ANC4 coverage,Antenatal care,25.0,32.7,76.5,percent,70,higher_is_better,True,6.5
PHC-001,Gwagwalada PHC,Gwagwalada,2025-06,2025-Q2,ANC4,ANC4 coverage,Antenatal care,22.0,32.7,67.3,percent,70,higher_is_better,False,-2.7
PHC-001,Gwagwalada PHC,Gwagwalada,2025-07,2025-Q3,ANC4,ANC4 coverage,Antenatal care,26.0,32.7,79.5,percent,70,higher_is_better,True,9.5
PHC-001,Gwagwalada PHC,Gwagwalada,2025-08,2025-Q3,ANC4,ANC4 coverage,Antenatal care,24.0,32.7,73.4,percent,70,higher_is_better,True,3.4
PHC-001,Gwagwalada PHC,Gwagwalada,2025-09,2025-Q3,ANC4,ANC4 coverage,Antenatal care,27.0,32.7,82.6,percent,70,higher_is_better,True,12.6
PHC-001,Gwagwalada PHC,Gwagwalada,2025-10,2025-Q4,ANC4,ANC4 coverage,Antenatal care,26.0,32.7,79.5,percent,70,higher_is_better,True,9.5
PHC-001,Gwagwalada PHC,Gwagwalada,2025-11,2025-Q4,ANC4,ANC4 coverage,Antenatal care,30.0,32.7,91.7,percent,70,higher_is_better,True,21.7
PHC-001,Gwagwalada PHC,Gwagwalada,2025-12,2025-Q4,ANC4,ANC4 coverage,Antenatal care,30.0,32.7,91.7,percent,70,higher_is_better,True,21.7
PHC-001,Gwagwalada PHC,Gwagwalada,2026-01,2026-Q1,ANC4,ANC4 coverage,Antenatal care,26.0,32.7,79.5,percent,70,higher_is_better,True,9.5
PHC-001,Gwagwalada PHC,Gwagwalada,2026-02,2026-Q1,ANC4,ANC4 coverage,Antenatal care,27.0,32.7,82.6,percent,70,higher_is_better,True,12.6
PHC-001,Gwagwalada PHC,Gwagwalada,2026-03,2026-Q1,ANC4,ANC4 coverage,Antenatal care,27.0,32.7,82.6,percent,70,higher_is_better,True,12.6
PHC-001,Gwagwalada PHC,Gwagwalada,2026-04,2026-Q2,ANC4,ANC4 coverage,Antenatal care,29.0,32.7,88.7,percent,70,higher_is_better,True,18.7
PHC-001,Gwagwalada PHC,Gwagwalada,2026-05,2026-Q2,ANC4,ANC4 coverage,Antenatal care,24.0,32.7,73.4,percent,70,higher_is_better,True,3.4
PHC-001,Gwagwalada PHC,Gwagwalada,2026-06,2026-Q2,ANC4,ANC4 coverage,Antenatal care,26.0,32.7,79.5,percent,70,higher_is_better,True,9.5
PHC-002,Dobi PHC,Gwagwalada,2024-07,2024-Q3,ANC4,ANC4 coverage,Antenatal care,4.0,14.0,28.6,percent,70,higher_is_better,False,-41.4
PHC-002,Dobi PHC,Gwagwalada,2024-08,2024-Q3,ANC4,ANC4 coverage,Antenatal care,7.0,14.0,50.0,percent,70,higher_is_better,False,-20.0
PHC-002,Dobi PHC,Gwagwalada,2024-09,2024-Q3,ANC4,ANC4 coverage,Antenatal care,5.0,14.0,35.7,percent,70,higher_is_better,False,-34.3
PHC-002,Dobi PHC,Gwagwalada,2024-10,2024-Q4,ANC4,ANC4 coverage,Antenatal care,6.0,14.0,42.9,percent,70,higher_is_better,False,-27.1
PHC-002,Dobi PHC,Gwagwalada,2024-11,2024-Q4,ANC4,ANC4 coverage,Antenatal care,7.0,14.0,50.0,percent,70,higher_is_better,False,-20.0
PHC-002,Dobi PHC,Gwagwalada,2024-12,2024-Q4,ANC4,ANC4 coverage,Antenatal care,7.0,14.0,50.0,percent,70,higher_is_better,False,-20.0
PHC-002,Dobi PHC,Gwagwalada,2025-01,2025-Q1,ANC4,ANC4 coverage,Antenatal care,5.0,14.0,35.7,percent,70,higher_is_better,False,-34.3
PHC-002,Dobi PHC,Gwagwalada,2025-02,2025-Q1,ANC4,ANC4 coverage,Antenatal care,6.0,14.0,42.9,percent,70,higher_is_better,False,-27.1
PHC-002,Dobi PHC,Gwagwalada,2025-03,2025-Q1,ANC4,ANC4 coverage,Antenatal care,6.0,14.0,42.9,percent,70,higher_is_better,False,-27.1
PHC-002,Dobi PHC,Gwagwalada,2025-04,2025-Q2,ANC4,ANC4 coverage,Antenatal care,7.0,14.0,50.0,percent,70,higher_is_better,False,-20.0
PHC-002,Dobi PHC,Gwagwalada,2025-05,2025-Q2,ANC4,ANC4 coverage,Antenatal care,6.0,14.0,42.9,percent,70,higher_is_better,False,-27.1
PHC-002,Dobi PHC,Gwagwalada,2025-06,2025-Q2,ANC4,ANC4 coverage,Antenatal care,4.0,14.0,28.6,percent,70,higher_is_better,False,-41.4
PHC-002,Dobi PHC,Gwagwalada,2025-07,2025-Q3,ANC4,ANC4 coverage,Antenatal care,5.0,14.0,35.7,percent,70,higher_is_better,False,-34.3
PHC-002,Dobi PHC,Gwagwalada,2025-08,2025-Q3,ANC4,ANC4 coverage,Antenatal care,5.0,14.0,35.7,percent,70,higher_is_better,False,-34.3
PHC-002,Dobi PHC,Gwagwalada,2025-09,2025-Q3,ANC4,ANC4 coverage,Antenatal care,6.0,14.0,42.9,percent,70,higher_is_better,False,-27.1
PHC-002,Dobi PHC,Gwagwalada,2025-10,2025-Q4,ANC4,ANC4 coverage,Antenatal care,5.0,14.0,35.7,percent,70,higher_is_better,False,-34.3
PHC-002,Dobi PHC,Gwagwalada,2025-11,2025-Q4,ANC4,ANC4 coverage,Antenatal care,6.0,14.0,42.9,percent,70,higher_is_better,False,-27.1
PHC-002,Dobi PHC,Gwagwalada,2025-12,2025-Q4,ANC4,ANC4 coverage,Antenatal care,7.0,14.0,50.0,percent,70,higher_is_better,False,-20.0
PHC-002,Dobi PHC,Gwagwalada,2026-01,2026-Q1,ANC4,ANC4 coverage,Antenatal care,7.0,14.0,50.0,percent,70,higher_is_better,False,-20.0
PHC-002,Dobi PHC,Gwagwalada,2026-02,2026-Q1,ANC4,ANC4 coverage,Antenatal care,7.0,14.0,50.0,percent,70,higher_is_better,False,-20.0
PHC-002,Dobi PHC,Gwagwalada,2026-03,2026-Q1,ANC4,ANC4 coverage,Antenatal care,6.0,14.0,42.9,percent,70,higher_is_better,False,-27.1
PHC-002,Dobi PHC,Gwagwalada,2026-04,2026-Q2,ANC4,ANC4 coverage,Antenatal care,6.0,14.0,42.9,percent,70,higher_is_better,False,-27.1
PHC-002,Dobi PHC,Gwagwalada,2026-05,2026-Q2,ANC4,ANC4 coverage,Antenatal care,6.0,14.0,42.9,percent,70,higher_is_better,False,-27.1
PHC-002,Dobi PHC,Gwagwalada,2026-06,2026-Q2,ANC4,ANC4 coverage,Antenatal care,5.0,14.0,35.7,percent,70,higher_is_better,False,-34.3
PHC-003,Zuba PHC,Gwagwalada,2024-07,2024-Q3,ANC4,ANC4 coverage,Antenatal care,11.0,21.7,50.7,percent,70,higher_is_better,False,-19.3
PHC-003,Zuba PHC,Gwagwalada,2024-08,2024-Q3,ANC4,ANC4 coverage,Antenatal care,12.0,21.7,55.3,percent,70,higher_is_better,False,-14.7
PHC-003,Zuba PHC,Gwagwalada,2024-09,2024-Q3,ANC4,ANC4 coverage,Antenatal care,12.0,21.7,55.3,percent,70,higher_is_better,False,-14.7
PHC-003,Zuba PHC,Gwagwalada,2024-10,2024-Q4,ANC4,ANC4 coverage,Antenatal care,15.0,21.7,69.1,percent,70,higher_is_better,False,-0.9
PHC-003,Zuba PHC,Gwagwalada,2024-11,2024-Q4,ANC4,ANC4 coverage,Antenatal care,17.0,21.7,78.3,percent,70,higher_is_better,True,8.3
PHC-003,Zuba PHC,Gwagwalada,2024-12,2024-Q4,ANC4,ANC4 coverage,Antenatal care,14.0,21.7,64.5,percent,70,higher_is_better,False,-5.5
PHC-003,Zuba PHC,Gwagwalada,2025-01,2025-Q1,ANC4,ANC4 coverage,Antenatal care,15.0,21.7,69.1,percent,70,higher_is_better,False,-0.9
PHC-003,Zuba PHC,Gwagwalada,2025-02,2025-Q1,ANC4,ANC4 coverage,Antenatal care,16.0,21.7,73.7,percent,70,higher_is_better,True,3.7
PHC-003,Zuba PHC,Gwagwalada,2025-03,2025-Q1,ANC4,ANC4 coverage,Antenatal care,14.0,21.7,64.5,percent,70,higher_is_better,False,-5.5
PHC-003,Zuba PHC,Gwagwalada,2025-04,2025-Q2,ANC4,ANC4 coverage,Antenatal care,15.0,21.7,69.1,percent,70,higher_is_better,False,-0.9
PHC-003,Zuba PHC,Gwagwalada,2025-05,2025-Q2,ANC4,ANC4 coverage,Antenatal care,19.0,21.7,87.6,percent,70,higher_is_better,True,17.6
PHC-003,Zuba PHC,Gwagwalada,2025-06,2025-Q2,ANC4,ANC4 coverage,Antenatal care,13.0,21.7,59.9,percent,70,higher_is_better,False,-10.1
PHC-003,Zuba PHC,Gwagwalada,2025-07,2025-Q3,ANC4,ANC4 coverage,Antenatal care,12.0,21.7,55.3,percent,70,higher_is_better,False,-14.7
PHC-003,Zuba PHC,Gwagwalada,2025-08,2025-Q3,ANC4,ANC4 coverage,Antenatal care,13.0,21.7,59.9,percent,70,higher_is_better,False,-10.1
PHC-003,Zuba PHC,Gwagwalada,2025-09,2025-Q3,ANC4,ANC4 coverage,Antenatal care,14.0,21.7,64.5,percent,70,higher_is_better,False,-5.5
PHC-003,Zuba PHC,Gwagwalada,2025-10,2025-Q4,ANC4,ANC4 coverage,Antenatal care,14.0,21.7,64.5,percent,70,higher_is_better,False,-5.5
PHC-003,Zuba PHC,Gwagwalada,2025-11,2025-Q4,ANC4,ANC4 coverage,Antenatal care,15.0,21.7,69.1,percent,70,higher_is_better,False,-0.9
PHC-003,Zuba PHC,Gwagwalada,2025-12,2025-Q4,ANC4,ANC4 coverage,Antenatal care,12.0,21.7,55.3,percent,70,higher_is_better,False,-14.7
PHC-003,Zuba PHC,Gwagwalada,2026-01,2026-Q1,ANC4,ANC4 coverage,Antenatal care,19.0,21.7,87.6,percent,70,higher_is_better,True,17.6
PHC-003,Zuba PHC,Gwagwalada,2026-02,2026-Q1,ANC4,ANC4 coverage,Antenatal care,15.0,21.7,69.1,percent,70,higher_is_better,False,-0.9
PHC-003,Zuba PHC,Gwagwalada,2026-03,2026-Q1,ANC4,ANC4 coverage,Antenatal care,28.0,21.7,129.0,percent,70,higher_is_better,True,59.0
PHC-003,Zuba PHC,Gwagwalada,2026-04,2026-Q2,ANC4,ANC4 coverage,Antenatal care,17.0,21.7,78.3,percent,70,higher_is_better,True,8.3
PHC-003,Zuba PHC,Gwagwalada,2026-05,2026-Q2,ANC4,ANC4 coverage,Antenatal care,16.0,21.7,73.7,percent,70,higher_is_better,True,3.7
PHC-003,Zuba PHC,Gwagwalada,2026-06,2026-Q2,ANC4,ANC4 coverage,Antenatal care,15.0,21.7,69.1,percent,70,higher_is_better,False,-0.9
PHC-005,Kuje PHC,Kuje,2024-07,2024-Q3,ANC4,ANC4 coverage,Antenatal care,5.0,17.0,29.4,percent,70,higher_is_better,False,-40.6
PHC-005,Kuje PHC,Kuje,2024-08,2024-Q3,ANC4,ANC4 coverage,Antenatal care,6.0,17.0,35.3,percent,70,higher_is_better,False,-34.7
PHC-005,Kuje PHC,Kuje,2024-09,2024-Q3,ANC4,ANC4 coverage,Antenatal care,6.0,17.0,35.3,percent,70,higher_is_better,False,-34.7
PHC-005,Kuje PHC,Kuje,2024-10,2024-Q4,ANC4,ANC4 coverage,Antenatal care,6.0,17.0,35.3,percent,70,higher_is_better,False,-34.7
PHC-005,Kuje PHC,Kuje,2024-11,2024-Q4,ANC4,ANC4 coverage,Antenatal care,7.0,17.0,41.2,percent,70,higher_is_better,False,-28.8
PHC-005,Kuje PHC,Kuje,2024-12,2024-Q4,ANC4,ANC4 coverage,Antenatal care,5.0,17.0,29.4,percent,70,higher_is_better,False,-40.6
PHC-005,Kuje PHC,Kuje,2025-01,2025-Q1,ANC4,ANC4 coverage,Antenatal care,7.0,17.0,41.2,percent,70,higher_is_better,False,-28.8
PHC-005,Kuje PHC,Kuje,2025-02,2025-Q1,ANC4,ANC4 coverage,Antenatal care,5.0,17.0,29.4,percent,70,higher_is_better,False,-40.6
PHC-005,Kuje PHC,Kuje,2025-03,2025-Q1,ANC4,ANC4 coverage,Antenatal care,5.0,17.0,29.4,percent,70,higher_is_better,False,-40.6
PHC-005,Kuje PHC,Kuje,2025-04,2025-Q2,ANC4,ANC4 coverage,Antenatal care,6.0,17.0,35.3,percent,70,higher_is_better,False,-34.7
PHC-005,Kuje PHC,Kuje,2025-05,2025-Q2,ANC4,ANC4 coverage,Antenatal care,6.0,17.0,35.3,percent,70,higher_is_better,False,-34.7
PHC-005,Kuje PHC,Kuje,2025-06,2025-Q2,ANC4,ANC4 coverage,Antenatal care,5.0,17.0,29.4,percent,70,higher_is_better,False,-40.6
PHC-005,Kuje PHC,Kuje,2025-07,2025-Q3,ANC4,ANC4 coverage,Antenatal care,6.0,17.0,35.3,percent,70,higher_is_better,False,-34.7
PHC-005,Kuje PHC,Kuje,2025-08,2025-Q3,ANC4,ANC4 coverage,Antenatal care,,17.0,,percent,70,higher_is_better,,
PHC-005,Kuje PHC,Kuje,2025-09,2025-Q3,ANC4,ANC4 coverage,Antenatal care,6.0,17.0,35.3,percent,70,higher_is_better,False,-34.7
